Wall time,Step,Value
1531782969.075379,100,0.3491956889629364
1531795624.363806,200,0.8187398910522461
1531808022.787971,300,1.0270668268203735
1531820366.646127,400,1.1671925783157349
1531833102.866907,500,1.2597547769546509
1531844876.879231,600,1.3163373470306396
1531852873.681031,700,1.35080087184906
1531860763.385632,800,1.3677959442138672
1531868554.86683,900,1.3752745389938354
1531876636.098616,1000,1.3789688348770142
1531884839.606575,1100,1.3795278072357178
1531892720.462677,1200,1.3811801671981812
1531900500.920718,1300,1.3812142610549927
1531908227.53269,1400,1.3816797733306885
1531916036.290584,1500,1.3811774253845215
1531923830.759564,1600,1.3822567462921143
1531929436.352704,1700,1.3798532485961914
1531934423.530582,1800,1.380424976348877
1531939398.777989,1900,1.3798778057098389
1531944389.969636,2000,1.3808690309524536
1531949394.251274,2100,1.3794506788253784
1531954378.40023,2200,1.3785433769226074
1531959360.321283,2300,1.380289912223816
1531964389.969864,2400,1.3792552947998047
1531969384.470167,2500,1.3788578510284424
1531974357.751618,2600,1.3796794414520264
1531979352.979773,2700,1.3773521184921265
1531984338.035027,2800,1.380056381225586
1531989327.939934,2900,1.376119613647461
1531994328.781108,3000,1.3842153549194336
