Wall time,Step,Value
1535750942.055816,100,0.12262801826000214
1535756342.13918,200,0.05006011575460434
1535762010.715487,300,0.020509200170636177
1535767553.45443,400,0.5033963322639465
1535773203.738442,500,0.6030632257461548
1535778817.515887,600,0.8310298323631287
1535784397.600615,700,0.8585386872291565
1535789972.68994,800,0.7761175036430359
1535795560.492529,900,0.8259838223457336
1535801101.065779,1000,1.0592046976089478
1535806867.008573,1100,0.8319754004478455
1535812474.440953,1200,0.81045001745224
1535818073.353581,1300,0.9175170063972473
1535823702.056614,1400,0.9906995892524719
1535829312.446106,1500,1.0417680740356445
1535834950.256293,1600,1.0815290212631226
1535840658.960761,1700,1.1177587509155273
1535846360.093168,1800,1.0710262060165405
1535852059.738194,1900,1.0860905647277832
1535857750.525457,2000,1.075416088104248
1535863446.382998,2100,1.1023725271224976
1535869141.085088,2200,0.9196669459342957
1535874836.524185,2300,0.9251981973648071
1535880509.587729,2400,0.8768357634544373
1535886063.230784,2500,0.8573750853538513
1535891612.550619,2600,0.6702794432640076
1535897147.425352,2700,0.7882859706878662
1535902724.744149,2800,0.8214229345321655
1535908292.148627,2900,0.8322113752365112
1535913843.363796,3000,0.8044795989990234
1535919429.297933,3100,0.8620725870132446
1535924975.807181,3200,0.6314784288406372
