Wall time,Step,Value
1534793810.883964,100,2.250197410583496
1534800432.970087,200,4.315645694732666
1534806127.371613,300,4.870770454406738
1534811952.962372,400,2.2494871616363525
1534817765.467089,500,1.4570627212524414
1534823545.54313,600,1.2051219940185547
1534829371.294354,700,1.4340945482254028
1534835212.249208,800,2.9032444953918457
1534840900.519445,900,4.3587446212768555
1534846624.931675,1000,5.279928684234619
1534852430.204694,1100,5.884958267211914
1534858241.840016,1200,6.31735897064209
1534864055.689341,1300,6.614076614379883
1534869819.08141,1400,6.864757061004639
1534875478.949946,1500,7.057252407073975
1534881174.647591,1600,7.21827507019043
1534886716.021915,1700,5.931948184967041
1534890554.005586,1800,2.6135215759277344
1534894380.790269,1900,1.3986423015594482
1534896893.234461,2000,0.9659940600395203
