Wall time,Step,Value
1534793810.883964,100,0.14201349020004272
1534800432.970087,200,0.05964972451329231
1534806127.371613,300,0.3118821680545807
1534811952.962372,400,0.9775918126106262
1534817765.467089,500,1.1322838068008423
1534823545.54313,600,1.1706922054290771
1534829371.294354,700,0.9639858603477478
1534835212.249208,800,0.4342794418334961
1534840900.519445,900,0.170591801404953
1534846624.931675,1000,0.06839965283870697
1534852430.204694,1100,0.02892463468015194
1534858241.840016,1200,0.013343059457838535
1534864055.689341,1300,0.007120679598301649
1534869819.08141,1400,0.004355688579380512
1534875478.949946,1500,0.003077303059399128
1534881174.647591,1600,0.002393757225945592
1534886716.021915,1700,0.46514013409614563
1534890554.005586,1800,1.0512367486953735
1534894380.790269,1900,1.2629871368408203
1534896893.234461,2000,1.3377529382705688
