Wall time,Step,Value
1535751485.621673,100,2.2203681468963623
1535757359.783504,200,3.2452545166015625
1535763153.101972,300,2.952894926071167
1535768966.687295,400,2.369464635848999
1535774744.980625,500,1.917451024055481
1535780552.886692,600,1.689534068107605
1535786375.793049,700,1.5612443685531616
1535792054.315238,800,1.352804183959961
1535797548.646234,900,1.2698572874069214
1535803370.220692,1000,1.2220388650894165
1535809572.385486,1100,1.1835533380508423
1535815369.761407,1200,1.1293474435806274
1535821172.998018,1300,1.1921381950378418
1535826992.385199,1400,1.283543586730957
1535832853.316196,1500,1.3335068225860596
1535838717.364361,1600,1.351792573928833
1535844508.511767,1700,1.3149641752243042
1535850318.483195,1800,1.3604271411895752
1535856125.686501,1900,1.3861912488937378
1535861929.63945,2000,1.5085421800613403
1535867739.937094,2100,1.4505876302719116
1535873507.677338,2200,1.3450137376785278
1535879329.48816,2300,1.403363585472107
1535885171.100876,2400,1.483758807182312
1535891034.683924,2500,1.4292100667953491
1535896895.669149,2600,1.5074869394302368
1535902713.035221,2700,1.4944250583648682
1535908508.890208,2800,1.4432196617126465
1535914315.596228,2900,1.4952118396759033
1535920071.612138,3000,1.4388887882232666
1535925590.7782,3100,1.471821904182434
1535930367.527799,3200,1.5718050003051758
