Wall time,Step,Value
1535564631.164934,100,0.17842990159988403
1535570623.906923,200,0.1289912760257721
1535576195.445161,300,0.09273301064968109
1535581745.812297,400,0.06973514705896378
1535587303.319898,500,0.05516995117068291
1535592799.166334,600,0.04392269626259804
1535598189.063531,700,0.038169778883457184
1535603574.080606,800,0.03335830941796303
1535608976.59221,900,0.02910468727350235
1535614335.32417,1000,0.026935752481222153
1535619716.573305,1100,0.02539611980319023
1535625155.70201,1200,0.024866141378879547
1535630598.068946,1300,0.0232834555208683
1535636091.010386,1400,0.022232310846447945
1535641501.457148,1500,0.02278984896838665
1535647065.563172,1600,0.022610820829868317
1535652664.397779,1700,0.023407265543937683
1535658486.474971,1800,0.02416122332215309
1535664391.881411,1900,0.0237109512090683
1535670273.240421,2000,0.023555170744657516
1535676154.944816,2100,0.02361355535686016
1535681922.062785,2200,0.024075403809547424
1535687547.341267,2300,0.024071797728538513
1535693254.029116,2400,0.024392565712332726
1535698902.109237,2500,0.024254396557807922
1535704611.187577,2600,0.02408905327320099
1535710256.903096,2700,0.02488410845398903
1535715941.547267,2800,0.024085357785224915
1535721684.604162,2900,0.024624662473797798
1535727461.876908,3000,0.025257855653762817
1535733286.431755,3100,0.02177651785314083
1535739150.375375,3200,0.023722274228930473
