Wall time,Step,Value
1535750942.055816,100,2.366029977798462
1535756342.13918,200,4.5810065269470215
1535762010.715487,300,5.879366397857666
1535767553.45443,400,4.241629123687744
1535773203.738442,500,3.1341118812561035
1535778817.515887,600,2.364286422729492
1535784397.600615,700,1.9736847877502441
1535789972.68994,800,2.0008740425109863
1535795560.492529,900,1.856482744216919
1535801101.065779,1000,1.51465904712677
1535806867.008573,1100,1.7984447479248047
1535812474.440953,1200,1.836511254310608
1535818073.353581,1300,1.6695702075958252
1535823702.056614,1400,1.5480495691299438
1535829312.446106,1500,1.368346095085144
1535834950.256293,1600,1.2904229164123535
1535840658.960761,1700,1.2300169467926025
1535846360.093168,1800,1.2915596961975098
1535852059.738194,1900,1.3189772367477417
1535857750.525457,2000,1.322291374206543
1535863446.382998,2100,1.3218227624893188
1535869141.085088,2200,1.5079421997070312
1535874836.524185,2300,1.5131185054779053
1535880509.587729,2400,1.6159569025039673
1535886063.230784,2500,1.6908408403396606
1535891612.550619,2600,1.9439342021942139
1535897147.425352,2700,1.787642478942871
1535902724.744149,2800,1.7824723720550537
1535908292.148627,2900,1.7675732374191284
1535913843.363796,3000,1.892224907875061
1535919429.297933,3100,1.7447044849395752
1535924975.807181,3200,2.20827579498291
