Wall time,Step,Value
1530522660.274471,400,0.07502628862857819
1530523729.148477,600,0.013594691641628742
1530524780.11137,800,0.11312437802553177
1530525297.15681,900,0.0525253564119339
1530525814.910393,1000,0.02430475875735283
1530526338.14675,1100,0.011690284125506878
1530526856.127017,1200,0.005962622817605734
1530527370.694853,1300,0.00344445719383657
1530529958.123506,1800,0.0010002902708947659
1530530986.525687,2000,0.0007325988262891769
1530531498.866629,2100,0.0006183737423270941
1530532008.462522,2200,0.0325445830821991
1530533527.660137,2500,0.0030818330124020576
1530534026.3911,2600,0.0016721994616091251
1530535042.455894,2800,0.0008550717611797154
1530536053.71873,3000,0.000493707659188658
1530538087.236002,3400,0.15484818816184998
1530538585.26502,3500,0.06092393025755882
1530539092.091961,3600,0.024212069809436798
1530539601.882855,3700,0.010202390141785145
1530540111.943899,3800,0.004614193923771381
1530540617.135893,3900,0.0023384997621178627
1530541127.998374,4000,0.001492657815106213
1530541630.186923,4100,0.0010538364294916391
1530542138.01516,4200,0.025749152526259422
1530542646.099627,4300,0.01116045843809843
1530543657.717395,4500,0.0023943486157804728
1530544162.178801,4600,0.001368126249872148
1530544666.963294,4700,0.0250783022493124
1530545676.507939,4900,0.004677447024732828
1530546162.936777,5000,0.002166435355320573
1530547109.210196,5200,0.0006617596372961998
1530548090.171355,5400,0.00034247597795911133
1530548576.275531,5500,0.0002983907179441303
1530549533.909048,5700,0.00043033709516748786
1530550021.539532,5800,0.00035031195147894323
1530550486.831052,5900,0.00025129818823188543
1530550981.33923,6000,0.0001904814998852089
1530556118.323891,7100,5.7193887187168e-05
1530556600.769638,7200,5.2415718528209254e-05
1530557553.820951,7400,5.239991514827125e-05
1530559446.918107,7800,3.955893771490082e-05
1530560410.33032,8000,4.2461575503693894e-05
1530561356.605644,8200,3.451808515819721e-05
1530561824.861168,8300,2.913931712100748e-05
1530562293.949657,8400,2.7756184863392264e-05
1530562768.82823,8500,2.4220022169174626e-05
1530563240.798161,8600,2.433723238937091e-05
1530564198.696665,8800,2.111117464664858e-05
1530564683.042053,8900,2.136015064024832e-05
1530565166.118588,9000,1.9504024749039672e-05
1530565669.057653,9100,1.8090260709868744e-05
1530566142.209501,9200,1.699388667475432e-05
1530566617.461189,9300,1.6731324649299495e-05
1530567569.473313,9500,1.6083004084066488e-05
1530568044.594285,9600,1.3563650099968072e-05
1530569469.782836,9900,1.159214571089251e-05
1530570415.177259,10100,1.063834315573331e-05
1530570888.873313,10200,3.33995558321476e-05
1530571359.56748,10300,2.987244624819141e-05
1530572763.53022,10600,1.2922576388518792e-05
1530573227.376946,10700,1.0777554052765481e-05
1530573693.410511,10800,9.69252778304508e-06
1530574159.449494,10900,8.527991667506285e-06
1530574627.702437,11000,7.81625658419216e-06
1530576496.283523,11400,5.5384243751177564e-06
1530576964.919705,11500,5.666019660566235e-06
1530577914.591813,11700,5.296095423545921e-06
1530580738.399777,12300,3.5663688322529197e-06
1530581203.957456,12400,3.3996650472545298e-06
1530581667.351955,12500,3.365003522048937e-06
1530582597.278782,12700,2.7231396870774915e-06
1530583992.001626,13000,2.5728991204232443e-06
1530584919.52714,13200,2.316425934623112e-06
1530585387.836029,13300,2.1692092104785843e-06
1530585869.756802,13400,2.066904471575981e-06
1530586808.196815,13600,1.9279571006336482e-06
1530587732.283785,13800,1.8383883571004844e-06
1530588198.708524,13900,1.6514480876139714e-06
1530588660.874222,14000,1.6351972362826928e-06
1530589123.606532,14100,1.5435725799761713e-06
1530589587.878766,14200,1.467477318328747e-06
1530590061.752589,14300,1.3229788464741432e-06
1530591473.089615,14600,1.238516688317759e-06
1530591941.561073,14700,1.1479469321784563e-06
1530592414.196394,14800,1.0970853736580466e-06
1530593360.145136,15000,1.0349557442168589e-06
1530593867.671448,15100,9.418746458322858e-07
1530595261.09687,15400,8.594993232691195e-07
1530595716.404485,15500,7.79996241817571e-07
1530596173.074926,15600,7.838132205506554e-07
1530596618.3634,15700,7.370351227109495e-07
