Wall time,Step,Value
1529936147.313377,100,0.1912604719400406
1529936825.24083,200,0.07744728773832321
1529937486.312444,300,0.031227678060531616
1529938168.110815,400,0.013099177740514278
1529938822.914457,500,0.005781016778200865
1529939508.05701,600,0.0028522482607513666
1529940184.170166,700,0.0015964455669745803
1529940865.38478,800,0.0010728791821748018
1529941634.795986,900,0.0007578772492706776
1529942429.944862,1000,0.0005929186008870602
1529943228.78635,1100,0.00048177727148868144
1529944023.65535,1200,0.30321812629699707
1529944818.44038,1300,0.12216804176568985
1529945553.065425,1400,0.048594649881124496
1529946246.168478,1500,0.020346377044916153
1529946963.070543,1600,0.009219286032021046
1529947662.060904,1700,0.004692018963396549
1529948381.140196,1800,0.002808937104418874
1529949141.08261,1900,0.0018849784974008799
1529949962.690606,2000,0.0014067383017390966
1529950789.855631,2100,0.0013600126840174198
1529951594.650458,2200,0.10247474163770676
1529952414.802313,2300,0.04187927767634392
1529953201.262051,2400,0.017183182761073112
1529953916.22922,2500,0.0075047253631055355
1529954637.260137,2600,0.0036348996218293905
1529955384.49504,2700,0.002000688575208187
1529956114.067222,2800,0.0012535807909443974
1529956843.529256,2900,0.0009038490825332701
1529957591.077246,3000,0.000715592410415411
1529958378.437114,3100,0.0006219299393706024
1529959068.994671,3200,0.0005099429981783032
1529959748.199257,3300,0.00045734248124063015
1529960408.819283,3400,0.00042243063217028975
1529961136.130883,3500,0.0003915276029147208
1529961926.637568,3600,0.0003438915591686964
1529962722.688591,3700,0.0003068771620746702
1529963511.743489,3800,0.0002816106134559959
1529964310.399317,3900,0.00030811899341642857
1529965099.154831,4000,0.00024957279674708843
1529965878.700865,4100,0.00022924106451682746
1529966656.325945,4200,0.000201790317078121
1529967433.886397,4300,0.0001839883771026507
1529968224.046643,4400,0.0001770343806128949
1529969004.117707,4500,0.0001549929438624531
1529969776.361837,4600,0.0001446405512979254
1529970546.017262,4700,0.00013404223136603832
1529971324.007777,4800,0.0001231032656505704
1529972069.198229,4900,0.00011445060226833448
1529972870.626634,5000,0.00010452019341755658
1529973671.676628,5100,0.00010525135439820588
1529974464.691806,5200,9.558581950841472e-05
1529975252.710649,5300,8.773607260081917e-05
1529976043.019142,5400,8.274154242826626e-05
1529976837.465133,5500,7.605319115100428e-05
1529977620.970275,5600,7.404857751680538e-05
1529978409.333748,5700,6.94123373250477e-05
1529979191.865944,5800,6.548390228999779e-05
1529979981.046438,5900,6.312122422968969e-05
1529980765.197744,6000,5.904457066208124e-05
1529981551.390164,6100,5.434937702375464e-05
1529982345.674325,6200,5.105627133161761e-05
1529983124.014975,6300,4.7866516979411244e-05
1529983912.452623,6400,4.548147990135476e-05
1529984713.267383,6500,4.2820156522793695e-05
1529985510.368964,6600,4.333468314143829e-05
1529986322.212417,6700,3.938820736948401e-05
1529987121.826892,6800,3.752973861992359e-05
1529987931.904531,6900,3.472740718279965e-05
1529988721.796525,7000,3.272862886660732e-05
1529989512.476864,7100,3.257825301261619e-05
1529990289.550361,7200,2.9887789423810318e-05
1529991080.586276,7300,2.7918866180698387e-05
1529991869.744581,7400,2.6066069040098228e-05
1529992654.507175,7500,2.446005237288773e-05
1529993448.852544,7600,2.307047543581575e-05
1529994231.654856,7700,2.1142823243280873e-05
1529995015.013588,7800,2.110637433361262e-05
1529995787.571807,7900,1.9410703316680156e-05
1529996577.747033,8000,1.8436816390021704e-05
1529997366.624792,8100,0.19948890805244446
1529998155.013404,8200,0.07560091465711594
1529998934.420945,8300,0.028970938175916672
1529999730.028198,8400,0.011490273289382458
1530000531.567838,8500,0.004891522228717804
1530001323.652797,8600,0.0023054161574691534
1530002119.328007,8700,0.0012117252917960286
1530002900.676449,8800,0.000786724267527461
1530003660.030619,8900,0.0006915178382769227
1530004448.967724,9000,0.0004890556447207928
1530005239.761771,9100,0.0005907857557758689
1530006040.332309,9200,0.00043630838626995683
1530006823.843594,9300,0.00035248493077233434
1530007582.406214,9400,0.0002855598577298224
1530008352.219438,9500,0.0002477300295140594
1530009145.401345,9600,0.0002277456078445539
1530009925.407247,9700,0.0002080743870465085
1530010716.365706,9800,0.00018518649449106306
1530011497.524193,9900,0.00017274801211897284
1530012280.406422,10000,0.00015906245971564204
1530013067.964888,10100,0.0001470521674491465
1530013853.404966,10200,0.00013873836724087596
1530014639.180812,10300,0.00012667535338550806
1530015427.362006,10400,0.00011689804523484781
1530016210.235608,10500,0.00010355035192333162
1530016989.964541,10600,9.171995043288916e-05
1530017771.203411,10700,8.806208643363789e-05
1530018541.574542,10800,8.988181798486039e-05
1530019317.345396,10900,8.113209332805127e-05
1530020056.093667,11000,7.630917389178649e-05
1530020828.905816,11100,7.002181519055739e-05
1530021612.260002,11200,6.95601775078103e-05
1530022399.639978,11300,6.248688441701233e-05
1530023147.519598,11400,6.0899015807081014e-05
1530023889.612818,11500,0.146518737077713
1530024625.714709,11600,0.05768260732293129
1530025410.153322,11700,0.022221585735678673
1530026182.970905,11800,0.008808212354779243
